Flag,Description,Type,Part,Quantity,UOM,InstructionNote,ConfigurationSortOrder,InstructionSortOrder
Item,Add CE-00015,Raw Good,CE-00015,1,ea,C49,7,7
Item,Add CC-00010,Raw Good,CC-00010,2,ea,"C51,C136",8,8
Item,Add CC-90000,Raw Good,CC-90000,6,ea,"C52,C54,C96,C97,C98,C99",9,9
Item,Add CC-00101,Raw Good,CC-00101,1,ea,C78,10,10
Item,Add CC-00057,Raw Good,CC-00057,2,ea,"C81,C82",11,11
Item,Add CC-00092,Raw Good,CC-00092,2,ea,"C83,C85",12,12
Item,Add CC-00022,Raw Good,CC-00022,2,ea,"C86,C87",13,13
Item,Add CC-00097,Raw Good,CC-00097,1,ea,C128,14,14
Item,Add DA-00022,Raw Good,DA-00022,1,ea,D2,15,15
Item,Add DA-00023,Raw Good,DA-00023,1,ea,D6,16,16
Item,Add DA-00020,Raw Good,DA-00020,2,ea,"D9,D17",17,17
Item,Add DA-00012,Raw Good,DA-00012,2,ea,"D13,D14",18,18
Item,Add DL-00029,Raw Good,DL-00029,2,ea,"D15,D18",19,19
Item,Add DL-00006,Raw Good,DL-00006,1,ea,D16,20,20
Item,Add XA-10106,Raw Good,XA-10106,1,ea,J2,21,21
Item,Add BA-00081,Raw Good,BA-00081,2,ea,"J3,J5",22,22
Item,Add BA-00083,Raw Good,BA-00083,1,ea,J4,23,23
Item,Add XA-10111,Raw Good,XA-10111,1,ea,J22,24,24
Item,Add LC-00049,Raw Good,LC-00049,9,ea,"L1,L2,L3,L4,L5,L13,L14,L16,L17",25,25
Item,Add LC-00041,Raw Good,LC-00041,2,ea,"L10,L11",26,26
Item,Add LC-00052,Raw Good,LC-00052,1,ea,L12,27,27
Item,Add LC-00026,Raw Good,LC-00026,2,ea,"L18,L21",28,28
Item,Add LC-00039,Raw Good,LC-00039,3,ea,"L19,L20,L22",29,29
Item,Add XA-10103,Raw Good,XA-10103,1,ea,P1,30,30
Item,Add XD-09M10,Raw Good,XD-09M10,1,ea,P2,31,31
Item,Add RV-00001,Raw Good,RV-00001,3,ea,"RV3,RV5,RV6",32,32
Item,Add RS-61500,Raw Good,RS-61500,3,ea,"R1,R2,R3",33,33
Item,Add RS-74701,Raw Good,RS-74701,23,ea,"R18,R19,R21,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R44,R45,R46,R48,R68,R70,R71,R72,R73,R75",34,34
Item,Add RS-63300,Raw Good,RS-63300,2,ea,"R43,R52",35,35
Item,Add RS-60270,Raw Good,RS-60270,2,ea,"R47,R50",36,36
Item,Add RS-71002,Raw Good,RS-71002,13,ea,"R49,R51,R66,R67,R91,R92,R95,R102,R103,R106,R141,R142,R163",37,37
Item,Add RS-61003,Raw Good,RS-61003,1,ea,R80,38,38
Item,Add RS-61001,Raw Good,RS-61001,1,ea,R104,39,39
Item,Add RS-62001,Raw Good,RS-62001,1,ea,R105,40,40
Item,Add RS-60033,Raw Good,RS-60033,1,ea,R107,41,41
Item,Add RS-66491,Raw Good,RS-66491,1,ea,R162,42,42
Item,Add RS-60000,Raw Good,RS-60000,1,ea,R182,43,43
Item,Add SM-00023,Raw Good,SM-00023,1,ea,SW1,44,44
Item,Add IM-00095,Raw Good,IM-00095,1,ea,U1,45,45
Item,Add IT-00014,Raw Good,IT-00014,7,ea,"U6,U7,U8,U10,U33,U48,U49",46,46
Item,Add IY-00038,Raw Good,IY-00038,1,ea,U9,47,47
Item,Add IF-00035,Raw Good,IF-00035,1,ea,U11,48,48
Item,Add IM-00090,Raw Good,IM-00090,1,ea,U12,49,49
Item,Add IE-00105,Raw Good,IE-00105,2,ea,"U15,U16",50,50
Item,Add IE-00120,Raw Good,IE-00120,1,ea,U18,51,51
Item,Add IA-04067,Raw Good,IA-04067,1,ea,U19,52,52
Item,Add IE-00150,Raw Good,IE-00150,1,ea,U20,53,53
Item,Add IY-00028,Raw Good,IY-00028,1,ea,U26,54,54
Item,Add IM-00084,Raw Good,IM-00084,1,ea,U27,55,55
Item,Add IE-00154,Raw Good,IE-00154,1,ea,U34,56,56
Item,Add IR-00055,Raw Good,IR-00055,1,ea,U35,57,57
Item,Add IT-00019,Raw Good,IT-00019,2,ea,"U37,U38",58,58
Item,Add LO-00044,Raw Good,LO-00044,1,ea,U45,59,59
Item,Add IT-00016,Raw Good,IT-00016,1,ea,U47,60,60
Item,PCB,Raw Good,BC-00198.10A,1,ea,raw board,61,61
Item,Create EC-01440-DB9,Finished Good,EC-01440-DB9,1,ea,,62,62
Item,Add XA-10014,Raw Good,XA-10014,2,ea,J5 (DCE),62,63
BOM,EC-01404,K6x TCI Module,Manufacture,1,Order Quantity,,,
Item,Add CC-00072,Raw Good,CC-00072,7,ea,"C1,C3,C4,C5,C6,C7,C10",1,1
Item,Add CC-00067,Raw Good,CC-00067,3,ea,"C2,C9,C11",2,2
Item,Add CC-00097,Raw Good,CC-00097,1,ea,C8,3,3
