"PartNumber","PartDescription","PartDetails","UOM","UPC","PartType","Active","ABCCode","Weight","WeightUOM","Width","Height","Length","SizeUOM","PrimaryTracking","AlertNote","PictureUrl","Tracks-Lot Number","Tracks-Revision Level","Tracks-Expiration Date","Tracks-Serial Number","CF-Custom1","CF-Custom2","CF-Custom3","CF-Custom4"
"RA-00000","Resistor 5% // Zero Ohm  RoHS",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Yageo America // ZOR-25-B",,,
"xPC-00012","AC-DC Converter // AC to 15VDC 10W converter - DO NOT REORDER","ROHS
","ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Cincon // CFM1003S","Meanwell // NFM-10-15",,
"PC-00013","DC-DC Converter // 8W 48VDC to 15VDC DC-DC Converter",,"ea",,"Inventory","true","A","0","lbs","0","0","0","ft",,,,"false","false","false","false","V-Infinity // VAD7R5-D48-S15","Cincon // EC6A23",,
"PE-00002","Power Entry Module // IEC Power Entry Module, snap-in(.187",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Kobiconn // 161-0711-250",,,
"xPC-00008","AC-DC Converter // AC to 5VDC converter for Analog clocks - DO NOT REORDER",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Total Power International // T",,,
"PC-00009","AC-DC Converter // AC to 5VDC 10W Converter",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Cincon // CFM1001S",,,
"xPC-00010","AC-DC Converter // AC to 12VDC 15W Converter - DO NOT REORDER",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Cincon // CFM1502S",,,
"PC-00011","DC-DC Converter // 48VDC to +12VDC DC-DC converter",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","V-Infinity // VAD7R5-D48-S12","Aimtec AM8T-4812SZ",,
"PL-00005","Power Cord // Power  Cord with AUS. - IEC Connector",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Quail // 8530.098",,,
"PL-00006","Power Cord // Power  Cord with UK. - IEC Connector",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Quail // 9650.098",,,
"PL-00008","Strain Relief Bush. // Strain Relief Bushing Round",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","RichCo. // SRB-R-5",,,
"PL-00009","Power Cord // Power Cord pigtail for CLKTCA12",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Masterclock, Inc. // 0",,,
"PF-00011","Fuse // .5 Amp 2 AG, 250 Volt, Slow Blow","ROHS COMPLIANT","ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Littlefuse // 0230.500HXP",,,
"PF-00012","Fuse // PTC Resettable Fuse 0.75A Hold",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Raychem // RUSBF075",,,
"PL-00001","Power Cord // Black 6', with US - IEC Connector",,"ea",,"Inventory","true","B","0","lbs","0","0","0","ft",,,,"false","false","false","false","Belden // 17250",,,
"PL-00004","Power Cord // Power  Cord with EURO - IEC Connector",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Quail // 8500.098",,,
"NS-00003","Solder // No Clean solder",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Kester // 0",,,
"NS-00002","Solder // Kester Solder .020 (Water Soluable)",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Kester // 0",,,
"NM-00016","Polylite Mailer  // 9x12 polylite mailers",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Quill // 992-DL0925",,,
"NM-00015","Catalog binders // 3 ring catalog binders",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Hazel // 0",,,
"NM-00009","Wire Guard // gray '2-wire' wire guard",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Gardner Bender // 16-001",,,
"PB-00009","Battery // 3V 255mAh 23mm coin cell",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Panasonic // BR2330",,,
